#############################################################################
#
# Compiled by BeS  9/15/2015
#
# IBM 1047 - Code page EBCDIC  (Mainframe System Z  MVS z/os OS/390)
#
# references
#  https://www-01.ibm.com/software/globalization/ccsid/ccsid1047.html
#  http://www.kreativekorp.com/charset/encoding.php?name=CP1047
#  
############################################################################
00  0000        NULL
01  0001        START OF HEADING
02  0002        START OF TEXT
03  0003        END OF TEXT
04  009C        STRING TERMINATOR
05  0009        CHARACTER TABULATION
06  0086        START OF SELECTED AREA
07  007F        DELETE
08  0097        END OF GUARDED AREA
09  008D        REVERSE LINE FEED
0A  008E        SINGLE SHIFT TWO
0B  000B        LINE TABULATION
0C  000C        FORM FEED (FF)
0D  000D        CARRIAGE RETURN (CR)
0E  000E        SHIFT OUT
0F  000F        SHIFT IN
10  0010        DATA LINK ESCAPE
11  0011        DEVICE CONTROL ONE
12  0012        DEVICE CONTROL TWO
13  0013        DEVICE CONTROL THREE
14  009D        OPERATING SYSTEM COMMAND
15  0085        NEXT LINE (NEL)
16  0008        BACKSPACE
17  0087        END OF SELECTED AREA
18  0018        CANCEL
19  0019        END OF MEDIUM
1A  0092        PRIVATE USE TWO
1B  008F        SINGLE SHIFT THREE
1C  001C        INFORMATION SEPARATOR FOUR
1D  001D        INFORMATION SEPARATOR THREE
1E  001E        INFORMATION SEPARATOR TWO
1F  001F        INFORMATION SEPARATOR ONE
20  0080        <UNDEFINED>
21  0081        <UNDEFINED>
22  0082        BREAK PERMITTED HERE
23  0083        NO BREAK HERE
24  0084        <UNDEFINED>
25  000A        LINE FEED (LF)
26  0017        END OF TRANSMISSION BLOCK
27  001B        ESCAPE
28  0088        CHARACTER TABULATION SET
29  0089        CHARACTER TABULATION WITH JUSTIFICATION
2A  008A        LINE TABULATION SET
2B  008B        PARTIAL LINE FORWARD
2C  008C        PARTIAL LINE BACKWARD
2D  0005        ENQUIRY
2E  0006        ACKNOWLEDGE
2F  0007        BELL
30  0090        DEVICE CONTROL STRING
31  0091        PRIVATE USE ONE
32  0016        SYNCHRONOUS IDLE
33  0093        SET TRANSMIT STATE
34  0094        CANCEL CHARACTER
35  0095        MESSAGE WAITING
36  0096        START OF GUARDED AREA
37  0004        END OF TRANSMISSION
38  0098        START OF STRING
39  0099        <UNDEFINED>
3A  009A        SINGLE CHARACTER INTRODUCER
3B  009B        CONTROL SEQUENCE INTRODUCER
3C  0014        DEVICE CONTROL FOUR
3D  0015        NEGATIVE ACKNOWLEDGE
3E  009E        PRIVACY MESSAGE
3F  001A        SUBSTITUTE
40  0020        SPACE
41  00A0        NO-BREAK SPACE
42  00E2    â   LATIN SMALL LETTER A WITH CIRCUMFLEX
43  00E4    ä   LATIN SMALL LETTER A WITH DIAERESIS
44  00E0    à   LATIN SMALL LETTER A WITH GRAVE
45  00E1    á   LATIN SMALL LETTER A WITH ACUTE
46  00E3    ã   LATIN SMALL LETTER A WITH TILDE
47  00E5    å   LATIN SMALL LETTER A WITH RING ABOVE
48  00E7    ç   LATIN SMALL LETTER C WITH CEDILLA
49  00F1    ñ   LATIN SMALL LETTER N WITH TILDE
4A  00A2    ¢   CENT SIGN
4B  002E    .   FULL STOP
4C  003C    <   LESS-THAN SIGN
4D  0028    (   LEFT PARENTHESIS
4E  002B    +   PLUS SIGN
4F  007C    |   VERTICAL LINE
50  0026    &   AMPERSAND
51  00E9    é   LATIN SMALL LETTER E WITH ACUTE
52  00EA    ê   LATIN SMALL LETTER E WITH CIRCUMFLEX
53  00EB    ë   LATIN SMALL LETTER E WITH DIAERESIS
54  00E8    è   LATIN SMALL LETTER E WITH GRAVE
55  00ED    í   LATIN SMALL LETTER I WITH ACUTE
56  00EE    î   LATIN SMALL LETTER I WITH CIRCUMFLEX
57  00EF    ï   LATIN SMALL LETTER I WITH DIAERESIS
58  00EC    ì   LATIN SMALL LETTER I WITH GRAVE
59  00DF    ß   LATIN SMALL LETTER SHARP S
5A  0021    !   EXCLAMATION MARK
5B  0024    $   DOLLAR SIGN
5C  002A    *   ASTERISK
5D  0029    )   RIGHT PARENTHESIS
5E  003B    ;   SEMICOLON
5F  005E    ^   CIRCUMFLEX ACCENT
60  002D    -   HYPHEN-MINUS
61  002F    /   SOLIDUS
62  00C2    Â   LATIN CAPITAL LETTER A WITH CIRCUMFLEX
63  00C4    Ä   LATIN CAPITAL LETTER A WITH DIAERESIS
64  00C0    À   LATIN CAPITAL LETTER A WITH GRAVE
65  00C1    Á   LATIN CAPITAL LETTER A WITH ACUTE
66  00C3    Ã   LATIN CAPITAL LETTER A WITH TILDE
67  00C5    Å   LATIN CAPITAL LETTER A WITH RING ABOVE
68  00C7    Ç   LATIN CAPITAL LETTER C WITH CEDILLA
69  00D1    Ñ   LATIN CAPITAL LETTER N WITH TILDE
6A  00A6    ¦   BROKEN BAR
6B  002C    ,   COMMA
6C  0025    %   PERCENT SIGN
6D  005F    _   LOW LINE
6E  003E    >   GREATER-THAN SIGN
6F  003F    ?   QUESTION MARK
70  00F8    ø   LATIN SMALL LETTER O WITH STROKE
71  00C9    É   LATIN CAPITAL LETTER E WITH ACUTE
72  00CA    Ê   LATIN CAPITAL LETTER E WITH CIRCUMFLEX
73  00CB    Ë   LATIN CAPITAL LETTER E WITH DIAERESIS
74  00C8    È   LATIN CAPITAL LETTER E WITH GRAVE
75  00CD    Í   LATIN CAPITAL LETTER I WITH ACUTE
76  00CE    Î   LATIN CAPITAL LETTER I WITH CIRCUMFLEX
77  00CF    Ï   LATIN CAPITAL LETTER I WITH DIAERESIS
78  00CC    Ì   LATIN CAPITAL LETTER I WITH GRAVE
79  0060    `   GRAVE ACCENT
7A  003A    :   COLON
7B  0023    #   NUMBER SIGN
7C  0040    @   COMMERCIAL AT
7D  0027    '   APOSTROPHE
7E  003D    =   EQUALS SIGN
7F  0022    "   QUOTATION MARK
80  00D8    Ø   LATIN CAPITAL LETTER O WITH STROKE
81  0061    a   LATIN SMALL LETTER A
82  0062    b   LATIN SMALL LETTER B
83  0063    c   LATIN SMALL LETTER C
84  0064    d   LATIN SMALL LETTER D
85  0065    e   LATIN SMALL LETTER E
86  0066    f   LATIN SMALL LETTER F
87  0067    g   LATIN SMALL LETTER G
88  0068    h   LATIN SMALL LETTER H
89  0069    i   LATIN SMALL LETTER I
8A  00AB    «   LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
8B  00BB    »   RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
8C  00F0    ð   LATIN SMALL LETTER ETH
8D  00FD    ý   LATIN SMALL LETTER Y WITH ACUTE
8E  00FE    þ   LATIN SMALL LETTER THORN
8F  00B1    ±   PLUS-MINUS SIGN
90  00B0    °   DEGREE SIGN
91  006A    j   LATIN SMALL LETTER J
92  006B    k   LATIN SMALL LETTER K
93  006C    l   LATIN SMALL LETTER L
94  006D    m   LATIN SMALL LETTER M
95  006E    n   LATIN SMALL LETTER N
96  006F    o   LATIN SMALL LETTER O
97  0070    p   LATIN SMALL LETTER P
98  0071    q   LATIN SMALL LETTER Q
99  0072    r   LATIN SMALL LETTER R
9A  00AA    ª   FEMININE ORDINAL INDICATOR
9B  00BA    º   MASCULINE ORDINAL INDICATOR
9C  00E6    æ   LATIN SMALL LETTER AE
9D  00B8    ¸   CEDILLA
9E  00C6    Æ   LATIN CAPITAL LETTER AE
9F  00A4    ¤   CURRENCY SIGN
A0  00B5    µ   MICRO SIGN
A1  007E    ~   TILDE
A2  0073    s   LATIN SMALL LETTER S
A3  0074    t   LATIN SMALL LETTER T
A4  0075    u   LATIN SMALL LETTER U
A5  0076    v   LATIN SMALL LETTER V
A6  0077    w   LATIN SMALL LETTER W
A7  0078    x   LATIN SMALL LETTER X
A8  0079    y   LATIN SMALL LETTER Y
A9  007A    z   LATIN SMALL LETTER Z
AA  00A1    ¡   INVERTED EXCLAMATION MARK
AB  00BF    ¿   INVERTED QUESTION MARK
AC  00D0    Ð   LATIN CAPITAL LETTER ETH
AD  005B    [   LEFT SQUARE BRACKET
AE  00DE    Þ   LATIN CAPITAL LETTER THORN
AF  00AE    ®   REGISTERED SIGN
B0  00AC    ¬   NOT SIGN
B1  00A3    £   POUND SIGN
B2  00A5    ¥   YEN SIGN
B3  00B7    ·   MIDDLE DOT
B4  00A9    ©   COPYRIGHT SIGN
B5  00A7    §   SECTION SIGN
B6  00B6    ¶   PILCROW SIGN
B7  00BC    ¼   VULGAR FRACTION ONE QUARTER
B8  00BD    ½   VULGAR FRACTION ONE HALF
B9  00BE    ¾   VULGAR FRACTION THREE QUARTERS
BA  00DD    Ý   LATIN CAPITAL LETTER Y WITH ACUTE
BB  00A8    ¨   DIAERESIS
BC  00AF    ¯   MACRON
BD  005D    ]   RIGHT SQUARE BRACKET
BE  00B4    ´   ACUTE ACCENT
BF  00D7    ×   MULTIPLICATION SIGN
C0  007B    {   LEFT CURLY BRACKET
C1  0041    A   LATIN CAPITAL LETTER A
C2  0042    B   LATIN CAPITAL LETTER B
C3  0043    C   LATIN CAPITAL LETTER C
C4  0044    D   LATIN CAPITAL LETTER D
C5  0045    E   LATIN CAPITAL LETTER E
C6  0046    F   LATIN CAPITAL LETTER F
C7  0047    G   LATIN CAPITAL LETTER G
C8  0048    H   LATIN CAPITAL LETTER H
C9  0049    I   LATIN CAPITAL LETTER I
CA  00AD    -   SOFT HYPHEN
CB  00F4    ô   LATIN SMALL LETTER O WITH CIRCUMFLEX
CC  00F6    ö   LATIN SMALL LETTER O WITH DIAERESIS
CD  00F2    ò   LATIN SMALL LETTER O WITH GRAVE
CE  00F3    ó   LATIN SMALL LETTER O WITH ACUTE
CF  00F5    õ   LATIN SMALL LETTER O WITH TILDE
D0  007D    }   RIGHT CURLY BRACKET
D1  004A    J   LATIN CAPITAL LETTER J
D2  004B    K   LATIN CAPITAL LETTER K
D3  004C    L   LATIN CAPITAL LETTER L
D4  004D    M   LATIN CAPITAL LETTER M
D5  004E    N   LATIN CAPITAL LETTER N
D6  004F    O   LATIN CAPITAL LETTER O
D7  0050    P   LATIN CAPITAL LETTER P
D8  0051    Q   LATIN CAPITAL LETTER Q
D9  0052    R   LATIN CAPITAL LETTER R
DA  00B9    ¹   SUPERSCRIPT ONE
DB  00FB    û   LATIN SMALL LETTER U WITH CIRCUMFLEX
DC  00FC    ü   LATIN SMALL LETTER U WITH DIAERESIS
DD  00F9    ù   LATIN SMALL LETTER U WITH GRAVE
DE  00FA    ú   LATIN SMALL LETTER U WITH ACUTE
DF  00FF    ÿ   LATIN SMALL LETTER Y WITH DIAERESIS
E0  005C    \   REVERSE SOLIDUS
E1  00F7    ÷   DIVISION SIGN
E2  0053    S   LATIN CAPITAL LETTER S
E3  0054    T   LATIN CAPITAL LETTER T
E4  0055    U   LATIN CAPITAL LETTER U
E5  0056    V   LATIN CAPITAL LETTER V
E6  0057    W   LATIN CAPITAL LETTER W
E7  0058    X   LATIN CAPITAL LETTER X
E8  0059    Y   LATIN CAPITAL LETTER Y
E9  005A    Z   LATIN CAPITAL LETTER Z
EA  00B2    ²   SUPERSCRIPT TWO
EB  00D4    Ô   LATIN CAPITAL LETTER O WITH CIRCUMFLEX
EC  00D6    Ö   LATIN CAPITAL LETTER O WITH DIAERESIS
ED  00D2    Ò   LATIN CAPITAL LETTER O WITH GRAVE
EE  00D3    Ó   LATIN CAPITAL LETTER O WITH ACUTE
EF  00D5    Õ   LATIN CAPITAL LETTER O WITH TILDE
F0  0030    0   DIGIT ZERO
F1  0031    1   DIGIT ONE
F2  0032    2   DIGIT TWO
F3  0033    3   DIGIT THREE
F4  0034    4   DIGIT FOUR
F5  0035    5   DIGIT FIVE
F6  0036    6   DIGIT SIX
F7  0037    7   DIGIT SEVEN
F8  0038    8   DIGIT EIGHT
F9  0039    9   DIGIT NINE
FA  00B3    ³   SUPERSCRIPT THREE
FB  00DB    Û   LATIN CAPITAL LETTER U WITH CIRCUMFLEX
FC  00DC    Ü   LATIN CAPITAL LETTER U WITH DIAERESIS
FD  00D9    Ù   LATIN CAPITAL LETTER U WITH GRAVE
FE  00DA    Ú   LATIN CAPITAL LETTER U WITH ACUTE
FF  009F        APPLICATION PROGRAM COMMAND
